,dataset,method,exp,total_hr,total_ndcg,best_epoch,head_hr,head_ndcg,mid_hr,mid_ndcg,tail_hr,tail_ndcg,balance
0,Movielens,RNS,0,0.00971077934738975,0.004439755135985168,25,0.06741419453639802,0.030821678232419998,0.0,0.0,0.0,0.0,0.3333398222095012
1,Movielens,RNS,1,0.00964387437157112,0.0044451299181412895,175,0.06303492599367926,0.02933131153324044,0.0028907384170806386,0.0011280579178975746,0.0,0.0,0.35802955051121255
2,Movielens,RNS,2,0.010303366276069046,0.004667807190762753,50,0.01725166395616485,0.007950043197954513,0.009358153180718677,0.004054630866487491,0.009067899476766292,0.004133396727726591,0.8390827929439101
3,Movielens,RNS,3,0.010370271251887676,0.004646675575622439,175,0.014265799040674779,0.006603044079205394,0.006614401462811631,0.00278077246338773,0.010629834314869578,0.004771030355501591,0.8199820110976904
4,Movielens,RNS,4,0.009414485883050102,0.004310363526905607,175,0.06535726537239375,0.029923415508716803,0.0,0.0,0.0,0.0,0.3333400169953251
5,Movielens,RNS,5,0.010867279643683215,0.004942549340163922,175,0.020569291640042703,0.00933840733986252,0.006124445798899658,0.0025103302059018323,0.010152576447671351,0.004702350498685193,0.7249746419807387
6,Movielens,RNS,6,0.011106225985892608,0.005002767838468291,100,0.01698625374145462,0.007442230833448847,0.007839290622591562,0.003392569402581602,0.010788920270602319,0.004946347930559042,0.8289273418544405
7,Movielens,RNS,7,0.011163573108022863,0.005088380588543497,25,0.016853548634099505,0.007300233003191762,0.0063694236308556446,0.0030819542251586457,0.011338489935860882,0.005198528517220408,0.8195120332368901
8,Movielens,RNS,8,0.011956874964158048,0.00549831341764934,50,0.01579190777525859,0.007105595158161001,0.007300339392288392,0.0030278222393362317,0.012495478704826278,0.0058772160386889784,0.83020882011336
9,Movielens,RNS,9,0.011517213694492765,0.005400284431173373,200,0.019374945673846677,0.00884505414061666,0.004703574373554937,0.002080898940338633,0.011815747803059109,0.0056292578641737225,0.7276171774383005
10,Movielens,RNS,10,0.010733469692045954,0.0049330644452190995,25,0.01698625374145462,0.00794692575484061,0.00681038372837642,0.0027530295663250287,0.010528597797585105,0.004919649908880561,0.7783214809556085
11,Movielens,RNS,11,0.010083535641236404,0.004640483027983914,200,0.04943265248978005,0.024263687667880125,0.012983825093667275,0.005062197500191855,0.0006508061825430354,0.00023888052377831376,0.4582613729661732
12,Movielens,RNS,12,0.010265134861315544,0.004642941958633694,50,0.016455433312034164,0.007581881688125613,0.00431160984242536,0.001872628189417574,0.01067322139370578,0.00482009432858796,0.7333664069350516
13,Movielens,RNS,13,0.01034159769082255,0.004693332665784795,125,0.022228105481981633,0.010184180016729908,0.005340516736640502,0.002440422078471686,0.009226985432499035,0.004161539720518332,0.6924598227041994
14,Movielens,RNS,14,0.010542312618278439,0.004719775367983792,175,0.015327439899515693,0.006999313250775302,0.008672215251241917,0.003699953905558254,0.01005133993038688,0.004523947591346421,0.8555147787309383
15,Movielens,RNS,15,0.01080993252155296,0.004857832281660947,200,0.014332151594352336,0.006287362760259586,0.008476232985677127,0.0036319276174369424,0.01073107083215405,0.004908105071882929,0.8806092220308379
16,Movielens,RNS,16,0.009586527249440865,0.00441009443709337,125,0.0587883625583156,0.028156601079942483,0.00573248126777008,0.001815879763582093,0.0,0.0,0.3737295353199205
17,Movielens,RNS,17,0.009634316517882744,0.0043691582094747845,50,0.06681702155330001,0.030311605979217376,4.899556639119726e-05,1.4749135138296416e-05,0.0,0.0,0.3336641563905097
18,Movielens,RNS,18,0.010618775447785445,0.004754837474527571,100,0.014995677131127908,0.006902754433205127,0.010632037906889807,0.004462565339603397,0.009660856220861058,0.00437294233253544,0.892840185198761
19,Movielens,RNS,19,0.010131324909678283,0.0045725211558464264,125,0.020104823764299805,0.009015462624848473,0.01362076745675284,0.006014040842461064,0.006927470254180309,0.003178621817291425,0.7862952372751926
20,Movielens,AMNS,0,0.011383403742855505,0.005225479911859313,25,0.00597172983098014,0.002708510263923254,0.007692303923417971,0.003368170676497007,0.013652467473791674,0.0063223170955719376,0.8056983107076617
21,Movielens,AMNS,1,0.010599659740408694,0.004747075716513202,50,0.00782960133395174,0.0034315169175615085,0.009113175348762692,0.0039856539368597925,0.011642199487714298,0.005258570089559969,0.9039104201870449
